Model,MDO34
Firmware Version,1.10.4

Waveform Type,ANALOG,,,
Point Format,Y,,,
Horizontal Units,s,,,
Horizontal Scale,2e-08,,,
Horizontal Delay,0,,,
Sample Interval,4e-10,,,
Record Length,1000,,,
Gating,0.1% to 100.0%,,,
Probe Attenuation,1,1,1,1
Vertical Units,V,V,V,V
Vertical Offset,0,0,0,0
Vertical Scale,1,0.2,0.2,0.2
Vertical Position,2.92,1.1,-0.76,-2.4
,,,,
,,,,
,,,,
Label,,,,
TIME,CH1,CH2,CH3,CH4
-2.760e-08,0,0.004,0.28,-0.344
-2.720e-08,-0.04,0.044,0.328,-0.296
-2.680e-08,0,0.02,0.312,-0.312
-2.640e-08,0,-0.012,0.216,-0.32
-2.600e-08,-0.04,-0.036,0.152,-0.28
-2.560e-08,0,-0.004,0.152,-0.24
-2.520e-08,0,0.036,0.208,-0.232
-2.480e-08,0,0.028,0.216,-0.272
-2.440e-08,-0.04,-0.012,0.152,-0.28
-2.400e-08,-0.04,-0.02,0.096,-0.256
-2.360e-08,0,-0.004,0.104,-0.232
-2.320e-08,0,0.004,0.128,-0.224
-2.280e-08,-0.04,0.004,0.152,-0.232
-2.240e-08,-0.04,-0.004,0.144,-0.24
-2.200e-08,-0.04,-0.012,0.12,-0.224
-2.160e-08,-0.04,0.004,0.104,-0.216
-2.120e-08,0,0.004,0.112,-0.232
-2.080e-08,0,-0.028,0.112,-0.232
-2.040e-08,-0.04,-0.012,0.112,-0.2
-2.000e-08,-0.04,0.012,0.12,-0.192
-1.960e-08,-0.04,0.004,0.104,-0.176
-1.920e-08,0,-0.028,0.072,-0.168
-1.880e-08,0,-0.028,0.048,-0.16
-1.840e-08,0,-0.012,0.064,-0.136
-1.800e-08,0,-0.004,0.104,-0.104
-1.760e-08,0,0.012,0.096,-0.112
-1.720e-08,-0.04,-0.012,0.064,-0.112
-1.680e-08,-0.04,-0.028,0.024,-0.08
-1.640e-08,0,0.004,0.024,-0.056
-1.600e-08,-0.04,0.02,0.064,-0.048
-1.560e-08,0,0.012,0.064,-0.056
-1.520e-08,0,-0.004,0.04,-0.048
-1.480e-08,-0.04,-0.012,0.024,-0.04
-1.440e-08,-0.04,-0.004,0.016,-0.024
-1.400e-08,0,0.004,0.016,-0.024
-1.360e-08,0,0.004,0.016,-0.024
-1.320e-08,0,-0.012,0.016,-0.016
-1.280e-08,0,-0.012,0.016,-0.008
-1.240e-08,-0.04,0.004,0.008,0
-1.200e-08,-0.04,-0.012,-0.008,-0.008
-1.160e-08,0,-0.012,-0.016,0
-1.120e-08,-0.04,-0.004,-0.008,0.016
-1.080e-08,0,0.004,0.008,0.008
-1.040e-08,-0.08,-0.004,0.016,0
-1.000e-08,0,-0.02,-0.008,-0.016
-9.600e-09,-0.04,-0.028,-0.024,0
-9.200e-09,0,-0.012,-0.016,0.024
-8.800e-09,-0.04,-0.004,0.008,0.032
-8.400e-09,-0.04,0.004,0.024,0.024
-8.000e-09,-0.04,-0.02,0.016,0.04
-7.600e-09,0,0.004,-0.008,0.056
-7.200e-09,-0.04,0.02,-0.024,0.056
-6.800e-09,-0.04,0.02,-0.008,0.056
-6.400e-09,-0.04,0.012,0,0.064
-6.000e-09,-0.04,0.012,0,0.072
-5.600e-09,-0.04,0.012,0.008,0.088
-5.200e-09,-0.04,0.012,0,0.096
-4.800e-09,-0.04,0.012,-0.024,0.088
-4.400e-09,-0.04,-0.004,-0.04,0.088
-4.000e-09,-0.04,0.004,-0.024,0.096
-3.600e-09,-0.04,0.012,-0.016,0.12
-3.200e-09,-0.04,0.004,-0.024,0.12
-2.800e-09,-0.04,-0.012,-0.048,0.12
-2.400e-09,0,-0.012,-0.048,0.128
-2.000e-09,0,-0.012,-0.04,0.152
-1.600e-09,0,-0.02,-0.024,0.16
-1.200e-09,-0.04,-0.02,-0.024,0.16
-8.000e-10,-0.04,-0.028,-0.024,0.144
-4.000e-10,-0.24,-0.028,-0.04,0.144
0.000e+00,-0.44,-0.02,-0.04,0.144
4.000e-10,-0.64,-0.004,-0.048,0.144
8.000e-10,-0.68,-0.012,-0.048,0.136
1.200e-09,-0.64,-0.012,-0.04,0.144
1.600e-09,-0.6,-0.012,-0.048,0.16
2.000e-09,-0.64,-0.012,-0.048,0.16
2.400e-09,-0.64,-0.012,-0.048,0.16
2.800e-09,-0.68,-0.012,-0.048,0.152
3.200e-09,-0.64,-0.012,-0.048,0.152
3.600e-09,-0.64,-0.012,-0.032,0.16
4.000e-09,-0.64,0.004,-0.032,0.144
4.400e-09,-0.64,-0.004,-0.032,0.144
4.800e-09,-0.68,0.004,-0.048,0.144
5.200e-09,-0.68,0.004,-0.048,0.152
5.600e-09,-0.64,0.012,-0.04,0.16
6.000e-09,-0.64,0.004,-0.032,0.152
6.400e-09,-0.64,-0.012,-0.032,0.136
6.800e-09,-0.64,-0.02,-0.04,0.128
7.200e-09,-0.68,-0.02,-0.04,0.136
7.600e-09,-0.64,-0.012,-0.04,0.136
8.000e-09,-0.68,-0.004,-0.032,0.128
8.400e-09,-0.64,-0.012,-0.056,0.112
8.800e-09,-0.64,-0.012,-0.048,0.112
9.200e-09,-0.64,-0.012,-0.056,0.112
9.600e-09,-0.68,-0.012,-0.048,0.12
